run_id,profile_id,family,delta_CF_total,delta_profit_total,profit_leverage_flag,h_R_EUR,h_R_USD,h_C_EUR,h_C_USD,delta_CF_EUR,delta_CF_USD,delta_op_eff_EUR,delta_op_eff_USD,fx_debt_service_share_EUR,fx_debt_service_share_USD,delta_net_EUR,delta_net_USD,delta_net_total,currency_mismatch_gap,currency_mismatch_flag,family_sign_check
20260510_232418,1,importer,-0.4150102906299893,-2.8433871943915294,False,0.061693581851446154,0.07284671761443363,0.40845049862666616,0.2350184407000374,-0.287140990925455,-0.1278692997045343,-0.04153511355017962,-0.018496369555918244,0.024518813345664726,0.017197594404137144,-0.06605392689584436,-0.03569396396005539,-0.10174789085589975,0.0,False,True
20260510_232418,2,importer,-0.5305224087125469,-11.351306528678226,True,0.01653559901825805,0.01298643345311563,0.3040196962154949,0.2834826558396673,-0.27327522519428143,-0.25724718351826537,-0.061321558580270094,-0.05772494825504184,0.0,0.0,-0.061321558580270094,-0.05772494825504184,-0.11904650683531193,0.0,False,True
20260510_232418,3,importer,-0.5431234027969656,-2.9143628962383774,False,0.0529842357826673,0.02489320856656205,0.5437721261738818,0.21946660718107408,-0.38945000693994825,-0.15367339585701734,-0.04227540720101973,-0.016681487405444208,0.020366309415798953,0.027230404287326756,-0.06264171661681868,-0.04391189169277096,-0.10655360830958964,0.0,False,True
20260510_232418,4,importer,-0.2853750279932016,-3.1129223285050203,False,0.03629371349645224,0.07097604234757456,0.14916083021330792,0.2831122972978357,-0.09919289950050303,-0.1861821284926986,-0.017722206243301366,-0.03326405515495298,0.0,0.0,-0.017722206243301366,-0.03326405515495298,-0.05098626139825435,0.0,False,True
20260510_232418,5,importer,-0.7004922845491419,-12.244028368255387,True,0.0322975916589715,0.051422188264586735,0.6140450708335492,0.21775505475231977,-0.5466173878723128,-0.1538748966768292,-0.10998060446801503,-0.030959963082850595,0.007551228157592053,0.01294122684060312,-0.11753183262560708,-0.043901189923453716,-0.1614330225490608,0.0,False,True
20260510_232418,6,importer,-0.2687518673129393,-1.9791138072953278,False,0.028771182212720462,0.016689994536598373,0.1349123322501838,0.2286735026534587,-0.08782085886364197,-0.18093100844929738,-0.01144726155662976,-0.023583970872338655,0.042946452521905265,0.0139964403983206,-0.05439371407853502,-0.03758041127065925,-0.09197412534919427,0.0,False,True
20260510_232418,7,importer,-0.6226354444668653,-6.078653156045089,False,0.012465572922085373,0.003988705098102839,0.42510963948019487,0.2869123816998239,-0.36910015600258234,-0.25353528846428286,-0.08840243455226662,-0.06072372601488956,0.03051842791959643,0.029481572080403567,-0.11892086247186305,-0.09020529809529312,-0.20912616056715616,0.0,False,True
20260510_232418,8,importer,-0.29872411556028766,-1.7045308727515431,False,0.03372462938074164,0.09543546697590359,0.24902746008100604,0.26977915785883866,-0.1716600261303253,-0.12706408942996233,-0.027502033475135405,-0.02035721955638852,0.009525921886537348,0.022845223067577806,-0.037027955361672756,-0.04320244262396633,-0.08023039798563908,0.0,False,True
20260510_232418,9,importer,-0.6120922508992646,-5.553455896373122,False,0.03508958461624585,0.08437206806126035,0.6371164234976034,0.18505588172313467,-0.5318049746907689,-0.08028727620849554,-0.07148327976320647,-0.010791922038666366,0.023275798860937356,0.036724201139062634,-0.09475907862414382,-0.047516123177729,-0.1422752018018728,0.0,False,True
20260510_232418,10,importer,-0.39476023083423384,-2.353631752880868,False,0.004880614940455679,0.0022176187593429047,0.19680848550854074,0.2860342285981232,-0.15891838933790045,-0.2358418414963333,-0.0326194294991454,-0.048408660279591426,0.02892755824783182,0.007691096021893262,-0.061546987746977214,-0.056099756301484685,-0.1176467440484619,0.0,False,True
