run_id,profile_id,timing_cv_scenario,timing_CV,tenor_months,k_gamma,theta_gamma,raw_weight,omega_t,weight_sum_check,family
20260511_090921,1,low,0.25,1,16.0,0.3012036897125654,6.023829899715259e-06,2.0169577549553473e-05,1.0,importer
20260511_090921,1,low,0.25,2,16.0,0.3012036897125654,0.007136077330255901,0.023893713386397317,1.0,importer
20260511_090921,1,low,0.25,3,16.0,0.3012036897125654,0.11297057684693326,0.37825915546514954,1.0,importer
20260511_090921,1,low,0.25,6,16.0,0.3012036897125654,0.17491458335359486,0.5856661479875004,1.0,importer
20260511_090921,1,low,0.25,9,16.0,0.3012036897125654,0.003619142175237052,0.012117966473414836,1.0,importer
20260511_090921,1,low,0.25,12,16.0,0.3012036897125654,1.2796683600855558e-05,4.2847109988407154e-05,1.0,importer
20260511_090921,1,baseline,0.4,1,6.249999999999999,0.7710814456641676,0.00750845256590042,0.01742875404472676,1.0,importer
20260511_090921,1,baseline,0.4,2,6.249999999999999,0.7710814456641676,0.07811422895466932,0.18132014178625114,1.0,importer
20260511_090921,1,baseline,0.4,3,6.249999999999999,0.7710814456641676,0.17946571434320968,0.4165790177531603,1.0,importer
20260511_090921,1,baseline,0.4,6,6.249999999999999,0.7710814456641676,0.1395422315651988,0.32390791730472945,1.0,importer
20260511_090921,1,baseline,0.4,9,6.249999999999999,0.7710814456641676,0.02396080853192508,0.055618256218634435,1.0,importer
20260511_090921,1,baseline,0.4,12,6.249999999999999,0.7710814456641676,0.0022169021814423167,0.00514591289249796,1.0,importer
20260511_090921,1,high,0.6,1,2.7777777777777777,1.7349332527443766,0.07390384695051877,0.13990245772060897,1.0,importer
20260511_090921,1,high,0.6,2,2.7777777777777777,1.7349332527443766,0.14239935744564783,0.2695667533764531,1.0,importer
20260511_090921,1,high,0.6,3,2.7777777777777777,1.7349332527443766,0.1645264413638254,0.31145406439039586,1.0,importer
20260511_090921,1,high,0.6,6,2.7777777777777777,1.7349332527443766,0.1000990101898035,0.18949077915159174,1.0,importer
20260511_090921,1,high,0.6,9,2.7777777777777777,1.7349332527443766,0.03651830002837997,0.06913036515094535,1.0,importer
20260511_090921,1,high,0.6,12,2.7777777777777777,1.7349332527443766,0.0108057148798865,0.02045558021000508,1.0,importer
20260511_090921,2,low,0.25,1,16.0,0.14722312125377357,0.01761883894685512,0.01790606721686587,0.9999999999999999,importer
20260511_090921,2,low,0.25,2,16.0,0.14722312125377357,0.6479186065176836,0.6584811947233649,0.9999999999999999,importer
20260511_090921,2,low,0.25,3,16.0,0.14722312125377357,0.31840697222113246,0.3235977503459737,0.9999999999999999,importer
20260511_090921,2,low,0.25,6,16.0,0.14722312125377357,1.4747289223552315e-05,1.4987704519009975e-05,0.9999999999999999,importer
20260511_090921,2,low,0.25,9,16.0,0.14722312125377357,9.12768780144558e-12,9.276490454351116e-12,0.9999999999999999,importer
20260511_090921,2,low,0.25,12,16.0,0.14722312125377357,9.654316229929203e-19,9.811704157545978e-19,0.9999999999999999,importer
20260511_090921,2,baseline,0.4,1,6.249999999999999,0.3768911904096604,0.16962800148165766,0.1891500326962177,0.9999999999999999,importer
20260511_090921,2,baseline,0.4,2,6.249999999999999,0.3768911904096604,0.45456677684889635,0.506881646618235,0.9999999999999999,importer
20260511_090921,2,baseline,0.4,3,6.249999999999999,0.3768911904096604,0.2690106473359424,0.2999703604049497,0.9999999999999999,importer
20260511_090921,2,baseline,0.4,6,6.249999999999999,0.3768911904096604,0.00357482636398778,0.003986243531288121,0.9999999999999999,importer
20260511_090921,2,baseline,0.4,9,6.249999999999999,0.3768911904096604,1.0490883579637077e-05,1.1698251201262545e-05,0.9999999999999999,importer
20260511_090921,2,baseline,0.4,12,6.249999999999999,0.3768911904096604,1.6588932504239715e-08,1.849810820244551e-08,0.9999999999999999,importer
20260511_090921,2,high,0.6,1,2.7777777777777777,0.8480051784217357,0.295407361666212,0.35818908732004673,1.0,importer
20260511_090921,2,high,0.6,2,2.7777777777777777,0.8480051784217357,0.31149362211794435,0.37769409531002734,1.0,importer
20260511_090921,2,high,0.6,3,2.7777777777777777,0.8480051784217357,0.19695349606473142,0.23881122190729587,1.0,importer
20260511_090921,2,high,0.6,6,2.7777777777777777,0.8480051784217357,0.01963895412207551,0.02381274120329778,1.0,importer
20260511_090921,2,high,0.6,9,2.7777777777777777,0.8480051784217357,0.0011742476708251068,0.0014238057546303972,1.0,importer
20260511_090921,2,high,0.6,12,2.7777777777777777,0.8480051784217357,5.694600232961537e-05,6.904850470184877e-05,1.0,importer
20260511_090921,3,low,0.25,1,16.0,0.08925783023005351,0.6420094880716827,0.6900476247328481,1.0,importer
20260511_090921,3,low,0.25,2,16.0,0.08925783023005351,0.2866643222258385,0.3081138804377066,1.0,importer
20260511_090921,3,low,0.25,3,16.0,0.08925783023005351,0.0017105067561586356,0.0018384948292928768,1.0,importer
20260511_090921,3,low,0.25,6,16.0,0.08925783023005351,1.4181478760995493e-13,1.5242602977125539e-13,1.0,importer
20260511_090921,3,low,0.25,9,16.0,0.08925783023005351,1.571220709578276e-25,1.688786752719288e-25,1.0,importer
20260511_090921,3,low,0.25,12,16.0,0.08925783023005351,2.9748497366681706e-38,3.197441833594535e-38,1.0,importer
20260511_090921,3,baseline,0.4,1,6.249999999999999,0.22850004538893703,0.6910087482659613,0.6540542521006162,1.0,importer
20260511_090921,3,baseline,0.4,2,6.249999999999999,0.22850004538893703,0.33056669404994127,0.3128882990103497,1.0,importer
20260511_090921,3,baseline,0.4,3,6.249999999999999,0.22850004538893703,0.034922576401631863,0.03305494995123364,1.0,importer
20260511_090921,3,baseline,0.4,6,6.249999999999999,0.22850004538893703,2.6400853563734625e-06,2.4988960813851e-06,1.0,importer
20260511_090921,3,baseline,0.4,9,6.249999999999999,0.22850004538893703,4.407591056150926e-11,4.1718772432771017e-11,1.0,importer
20260511_090921,3,baseline,0.4,12,6.249999999999999,0.22850004538893703,3.9649149437513044e-16,3.7528750318797653e-16,1.0,importer
20260511_090921,3,high,0.6,1,2.7777777777777777,0.5141251021251082,0.551475474338121,0.6112988214879993,1.0,importer
20260511_090921,3,high,0.6,2,2.7777777777777777,0.5141251021251082,0.2703742564736988,0.2997041065904771,1.0,importer
20260511_090921,3,high,0.6,3,2.7777777777777777,0.5141251021251082,0.0794860954393401,0.08810864440538992,1.0,importer
20260511_090921,3,high,0.6,6,2.7777777777777777,0.5141251021251082,0.0007966722613026092,0.0008830942391970666,1.0,importer
20260511_090921,3,high,0.6,9,2.7777777777777777,0.5141251021251082,4.788008566695568e-06,5.307405551639998e-06,1.0,importer
20260511_090921,3,high,0.6,12,2.7777777777777777,0.5141251021251082,2.333954169412084e-08,2.587138503087525e-08,1.0,importer
20260511_090921,4,low,0.25,1,16.0,0.2868411913514137,1.1147490888873804e-05,3.668458923378549e-05,1.0,importer
20260511_090921,4,low,0.25,2,16.0,0.2868411913514137,0.011183251193862792,0.03680227061271402,1.0,importer
20260511_090921,4,low,0.25,3,16.0,0.2868411913514137,0.14992635574482668,0.4933833838166078,1.0,importer
20260511_090921,4,low,0.25,6,16.0,0.2868411913514137,0.14097788035163925,0.46393539885387847,1.0,importer
20260511_090921,4,low,0.25,9,16.0,0.2868411913514137,0.0017715071893495186,0.005829743591075532,1.0,importer
20260511_090921,4,low,0.25,12,16.0,0.2868411913514137,3.804057081847922e-06,1.251853649046239e-05,1.0,importer
20260511_090921,4,baseline,0.4,1,6.249999999999999,0.7343134498596193,0.009549183368927244,0.0211796662380727,1.0,importer
20260511_090921,4,baseline,0.4,2,6.249999999999999,0.7343134498596193,0.09309887236828195,0.2064891800399737,1.0,importer
20260511_090921,4,baseline,0.4,3,6.249999999999999,0.7343134498596193,0.20044454485407148,0.44457713243478636,1.0,importer
20260511_090921,4,baseline,0.4,6,6.249999999999999,0.7343134498596193,0.12826667891792215,0.28448981907578713,1.0,importer
20260511_090921,4,baseline,0.4,9,6.249999999999999,0.7343134498596193,0.018126130055407617,0.04020295452809589,1.0,importer
20260511_090921,4,baseline,0.4,12,6.249999999999999,0.7343134498596193,0.0013802113374589457,0.0030612476832841853,1.0,importer
20260511_090921,4,high,0.6,1,2.7777777777777777,1.652205262184143,0.08223828859883306,0.15050016915582046,1.0,importer
