run_id,profile_id,sobol_index,prior_mode,family,subtype,g_NR,g_PAE,g_TE,g_AEO,g_ACC,g_EXT,g_CIRC,h_R,h_C,r,beta,fx_debt_service_share,alpha_R_EUR,alpha_R_USD,alpha_C_EUR,alpha_C_USD,alpha_D_EUR,alpha_D_USD,c,lambda,sigma_Q,rho,f,target_prior_family_share,accepted_sample_family_share,sampling_weight
20260511_090921,1,101024,nominal,importer,0000011,0,0,0,0,0,1,1,0.13454029946587978,0.6434689393267036,0.1459563057217747,0.8553494106978178,0.04171640774980187,0.45855094790458684,0.5414490520954132,0.6347633485682309,0.3652366514317691,0.5877498727291823,0.41225012727081767,4.819259035401046,0.4114894986562431,0.3909640154071153,0.057634750753641106,0.25489674862474204,0.35,0.35,1.0
20260511_090921,2,101025,nominal,importer,0001100,0,0,0,1,1,0,0,0.02952203247137368,0.5875023520551622,0.046736682457849385,0.7756051301881671,0.05372281864285469,0.560110454261303,0.439889545738697,0.5174782622605563,0.48252173773944373,0.2349216751754284,0.7650783248245716,2.355569940060377,0.4200858354642988,0.20482725368551913,-0.2852307496592402,0.6931453516706824,0.35,0.35,1.0
20260511_090921,3,101026,nominal,importer,0001011,0,0,0,1,0,1,1,0.07787744434922934,0.763238733354956,0.18636093792505562,0.8914484363906086,0.04759671370312571,0.6803540643304586,0.31964593566954136,0.7124535252340138,0.28754647476598616,0.42789318487048156,0.5721068151295184,1.4281252836808562,0.3051989741399884,0.14893754268661138,-0.13569057639688253,0.10155619028955698,0.35,0.35,1.0
20260511_090921,4,101027,nominal,importer,0000100,0,0,0,0,1,0,0,0.1072697558440268,0.43227312751114366,0.0916743168886751,0.8213359390385448,0.0028386056050658227,0.33834059946239,0.66165940053761,0.3450615379959345,0.6549384620040655,0.6750008981674911,0.3249991018325089,4.58945906162262,0.55,0.269917282659933,0.2080127522349357,0.5492347875609994,0.35,0.35,1.0
20260511_090921,5,101028,nominal,importer,0000111,0,0,0,0,1,1,1,0.08371977992355824,0.8318001255858689,0.057210932830348615,0.798797830240801,0.020492454998195173,0.38578208982944495,0.614217910170555,0.7382122843526304,0.2617877156473696,0.3684882147237659,0.6315117852762341,1.0,0.3672306783683599,0.10590000000000001,0.22989699225872756,0.19109432753175498,0.35,0.35,1.0
20260511_090921,6,101029,nominal,importer,0001010,0,0,0,1,0,1,0,0.045461176749318835,0.3635858349036425,0.1357940439414233,0.8696521338466555,0.05694289292022586,0.6328736796975136,0.3671263203024864,0.3710604740306735,0.6289395259693265,0.7542021544650197,0.2457978455349803,4.094292664900422,0.45065708422660833,0.31576139076501136,-0.0075020480901002995,0.46057583596557383,0.35,0.35,1.0
20260511_090921,7,101030,nominal,importer,0001111,0,0,0,1,1,1,1,0.01645427802018821,0.7120220211800188,0.10242983576841652,0.7604920152034611,0.06,0.7575885679572822,0.24241143204271776,0.5970456345938147,0.40295436540618534,0.5086404653266072,0.4913595346733928,5.276546084322035,0.5468741457462312,0.42651998862512414,-0.15795271955430507,0.33527962807565925,0.35,0.35,1.0
20260511_090921,8,101031,nominal,importer,0000010,0,0,0,0,0,1,0,0.12916009635664522,0.5188066179398447,0.17525298035703601,0.8397877823095768,0.03237114495411515,0.2611071866005659,0.7388928133994341,0.48000054638832806,0.5199994536116719,0.2942720098420978,0.7057279901579022,3.125089382752776,0.31334767274931075,0.21078336405009032,0.0802841490134597,0.6142276087775826,0.35,0.35,1.0
20260511_090921,9,101032,nominal,importer,0001011,0,0,0,1,0,1,1,0.1194616526775062,0.8221723052207381,0.11021826090291142,0.8655836572330445,0.06,0.2937309490516782,0.7062690509483218,0.7749183710664511,0.22508162893354888,0.38792998101562265,0.6120700189843773,1.0,0.5440817759148777,0.2160108381196856,0.0123415566980839,0.4005366055294871,0.35,0.35,1.0
20260511_090921,10,101033,nominal,importer,0000110,0,0,0,0,1,1,0,0.0070982336997985835,0.482842714106664,0.16772387199103833,0.7947410011198371,0.03661865426972508,0.6875816078856588,0.3124183921143412,0.4076037180610001,0.5923962819389998,0.7899678135290742,0.2100321864709258,3.6729866256937385,0.28329094383865594,0.44798704122789207,-0.2352680442854762,0.24823352228850126,0.35,0.35,1.0
20260511_090921,11,101034,nominal,importer,0000011,0,0,0,0,0,1,1,0.055412496859207745,0.6658781066071242,0.07060968471691012,0.8286240386310965,0.01853010193258524,0.5125814517959952,0.48741854820400476,0.572243557497859,0.42775644250214095,0.5477752292528749,0.4522247707471251,4.918485332280397,0.39695898363739257,0.376642510445416,-0.08487170990556478,0.5559119345620275,0.35,0.35,1.0
20260511_090921,12,101035,nominal,importer,0001110,0,0,0,1,1,1,0,0.0922322851549834,0.6015495010185987,0.12201032806187868,0.75,0.04203023346886039,0.46875506397336725,0.5312449360266327,0.45500510903075336,0.5449948909692466,0.3498954525217414,0.6501045474782585,3.392207751981914,0.4537046802155674,0.11651351438947022,0.1619000181555748,0.3941422181203962,0.35,0.35,1.0
20260511_090921,13,101036,nominal,importer,0001111,0,0,0,1,1,1,1,0.10610390435345471,0.7348339375108481,0.19910948516801,0.7715435831733048,0.051376376029104,0.2161965386942029,0.7838034613057971,0.6595258733257652,0.3404741266742348,0.6189195845276119,0.38108041547238813,4.47611434571445,0.3457202487178147,0.29666382258646196,0.2994658229872584,0.6365874854847788,0.35,0.35,1.0
20260511_090921,14,101037,nominal,importer,0000000,0,0,0,0,0,0,0,0.06057460731826722,0.5327195377089083,0.0784803306311369,0.8512764978222549,0.01218393076211214,0.765101051516831,0.23489894848316895,0.542527601774782,0.457472398225218,0.25899600982666016,0.7410039901733398,2.6370691219344735,0.4765898995101452,0.1549349526502192,-0.07236481793224811,0.315517164580524,0.35,0.35,1.0
20260511_090921,15,101038,nominal,importer,0000111,0,0,0,0,1,1,1,0.03159972997382283,0.8911366104148328,0.15435456646606327,0.8101606702432036,0.027273426342755556,0.5850597014650702,0.41494029853492975,0.6756773388013244,0.3243226611986756,0.47877419590950016,0.5212258040904998,1.6172301042824984,0.4939041595160962,0.2811893075089902,-0.2219959493726492,0.48978149909526114,0.35,0.35,1.0
20260511_090921,16,101039,nominal,importer,0001000,0,0,0,1,0,0,0,0.15,0.4140210939571261,0.03857747543603182,0.8802802598029376,0.05129081256687641,0.39628716763108973,0.6037128323689103,0.3086026838980615,0.6913973161019384,0.7189147148281336,0.2810852851718664,4.1531618582084775,0.37982207586243755,0.38736582419350746,0.14899681862443687,0.1592813091352582,0.35,0.35,1.0
20260511_090921,17,101040,nominal,importer,0000101,0,0,0,0,1,0,1,0.1430647088214755,0.8719032679684461,0.15928591936826705,0.7602854027878493,0.0009438466094434261,0.7918731050565839,0.20812689494341607,0.48925364362075924,0.5107463563792407,0.4817237932235003,0.5182762067764997,3.071273767389357,0.4871102441437543,0.3899473091121763,0.2578908283263445,0.6029625069350004,0.35,0.35,1.0
20260511_090921,18,101041,nominal,importer,0001010,0,0,0,1,0,1,0,0.039729313407093285,0.39511101618409156,0.10776206636801362,0.8305507659371942,0.04949585006386041,0.2269285621121526,0.7730714378878474,0.6219799716025591,0.37802002839744087,0.6960418924689293,0.30395810753107066,1.5448099132627249,0.33509011679887774,0.255618309610337,-0.035568366385996364,0.3475354965776205,0.35,0.35,1.0
20260511_090921,19,101042,nominal,importer,0001101,0,0,0,1,1,0,1,0.06876824190281332,0.7499843807891011,0.11988613944500685,0.7990120612476022,0.05558879585936665,0.42071083094924694,0.5792891690507531,0.3482090492732823,0.6517909507267177,0.6417912647128106,0.35820873528718944,2.707510736770928,0.37173410874605184,0.1509060387637466,-0.18628041017800567,0.44723928645253186,0.35,0.35,1.0
20260511_090921,20,101043,nominal,importer,0000010,0,0,0,0,0,1,0,0.0976472679991275,0.5481929834000766,0.06250374814495444,0.8788907584268599,0.03984696869552135,0.5981308167800308,0.40186918321996923,0.7307980183511973,0.2692019816488027,0.2560452837496996,0.7439547162503004,5.556013727560639,0.5021751650460065,0.3236822494529188,0.10868469737470149,0.20109578594565392,0.35,0.35,1.0
20260511_090921,21,101044,nominal,importer,0000001,0,0,0,0,0,0,1,0.09336057859472931,0.6813053616788238,0.0757070329785347,0.8912430354394019,0.022251741662621498,0.7194027232006193,0.28059727679938073,0.3856827734969556,0.6143172265030443,0.562402612529695,0.43759738747030497,2.2318754410371184,0.38664243040606383,0.11525951159894467,0.04813097510486841,0.5179553281515836,0.35,0.35,1.0
